run_index,batch_index,batch_size,prompt_index,prompt,latency_seconds,generated_tokens,throughput_tokens_per_sec,gpu_memory_allocated_gb,gpu_memory_reserved_gb,prompt_length_tokens,output_length_tokens,precision
0,0,32,0,Summarize why GPUs are useful for neural network inference.,2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,13,45,fp16
0,0,32,1,Write a two-sentence explanation of batch size.,2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,11,43,fp16
0,0,32,2,List three common metrics for an inference benchmark.,2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,10,42,fp16
0,0,32,3,Explain the difference between latency and throughput.,2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,10,42,fp16
0,0,32,4,Give one practical tip for reducing LLM serving cost.,2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,12,44,fp16
0,0,32,5,Define FP16 inference in one paragraph.,2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,9,41,fp16
0,0,32,6,Name two reasons to run warmup iterations before timing.,2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,12,44,fp16
0,0,32,7,Explain why output length affects benchmark results.,2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,10,42,fp16
0,0,32,8,State one risk of comparing benchmarks across different GPUs.,2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,11,43,fp16
0,0,32,9,Describe what tokens per second measures.,2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,8,40,fp16
0,0,32,10,"You are reviewing an internal benchmark report. Explain how prompt length, generated token count, and batch size can each affect measured tokens per second.",2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,29,61,fp16
0,0,32,11,Draft a concise checklist for validating a new language model inference pipeline before publishing results to a team dashboard.,2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,21,53,fp16
0,0,32,12,"Compare CPU fallback and CUDA execution for a small transformer model. Focus on reliability, expected speed, and memory behavior.",2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,24,56,fp16
0,0,32,13,Explain why warmup runs are useful in GPU benchmarks and what could go wrong if they are skipped.,2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,22,54,fp16
0,0,32,14,Write a short project update describing progress on an FP16 baseline for an LLM inference benchmark.,2.2037971990002916,32,435.61177064544995,6.296274662017822,6.419921875,20,52,fp16
